id;nom;insee;adresse;url;type_usagers;gratuit;nb_places;nb_pr;nb_pmr;nb_voitures_electriques;nb_velo;nb_2r_el;nb_autopartage;nb_2_rm;nb_covoit;hauteur_max;num_siret;Xlong;Ylat;tarif_pmr;tarif_1h;tarif_2h;tarif_3h;tarif_4h;tarif_24h;abo_resident;abo_non_resident;type_ouvrage;info
69091-P-001;Givors - rue Robespierre;69091;5 Rue des Gagnoles, 69700, Givors;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;250;96950545200017;4.7695344;45.5866981;;;;;;;25;25;;
69069-P-002;Craponne - Grand Champ;69069;88 Imp. du Grand Champ, 69290, Craponne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.720431;45.7464754;;;;;;;50;50;;
69069-P-003;Craponne - 36 rue Centrale;69069;36 Rue Centrale, 69290, Craponne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.7181187;45.7460889;;;;;;;35;35;;
69149-P-004;Oullins - Célestins;69149;40 Chem. des Célestins, 69600, Oullins;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.79737956;45.71983106;;;;;;;72;72;;
69266-P-018;Villeurbanne - Pressencé;69266;66 Rue Greuze, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8935235;45.7692357;;;;;;;55;55;;
69266-P-019;Villeurbanne - Filature;69266;55 Rue de la Filature, 69100, Villeurbanne;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8827307;45.7782202;;;;;;;63;63;;
69112-P-001;Lentilly - Nationale 7;69112;145 D307, 69210, Lentilly;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.6752422;45.8228812;;;;;;;75;75;;
69123-P-130;Grange Blanche - Laënnec;69123;68 Rue Laënnec, 69008, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.8825468;45.738906;;;;;;;63;63;;
69286-P-001;Rillieux-la-Pape - Ampère;69286;250 Rue Ampère, 69140, Rillieux-la-Pape;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.90045745;45.81928465;;;;;;;36;36;;
69123-P-131;Marché Gare - La Confluence;69123;41 Quai Perrache, 69002, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;230;96950545200017;4.8215964;45.7383908;;;;;;;160;160;;
69123-P-132;Lyon 1 - Saint-Vincent;69123;2 Imp. Tavernier, 69001, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8273519;45.7690789;;;;;;;135;135;;
69202-P-002;Sainte-Foy-lès-Lyon - Grand Vallon;69202;17 Chem. des Prés, 69110, Sainte-Foy-lès-Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.791828;45.7431727;;;;;;;73;73;;
69153-P-001;Poleymieux-au-Mont-d'Or - Quartier de l'ancienne église;69153;45 Chem. du Pavillon, 69250, Poleymieux-au-Mont-d'Or;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;300;;4.7967263;45.8628753;;;;;;;39;39;;
69123-P-157;Lyon 8 - Mermoz;69123;32 Rue Professeur Ranvier, 69008, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;;4.88654981;45.7342939;;;;;;;100;100;;
69123-P-095;LPA Bonnel Servient;69123;183 rue de Créqui, 69003, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/bonnel-servient/#informations;tous;false;769;;10;0;0;;0;6;;180;96950545200017;4.84847;45.76178;;3;6;9;12;46.6;96;150;ouvrage;
69123-P-099;LPA Croix Rousse;69123;73 rue de Belfort, 69004, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/croix-rousse/#informations;tous;false;327;;7;0;60;;3;59;;190;96950545200017;4.83287;45.78162;;3;6;9;12;46.6;96;134;ouvrage;
69123-P-094;LPA Villette P2;69123;38 rue de la Villette, 69003, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/gare-part-dieu/#informations;tous;false;1740;;11;10;0;;0;33;;190;96950545200017;4.8617;45.76054;;;;;;32;;;ouvrage;
69123-P-110;LPA Berthelot;69123;99 rue de Marseille, 69007, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/berthelot/#informations;tous;false;342;;7;12;33;;2;32;;190;96950545200017;4.83638;45.74617;;3;6;9;12;46.6;96;134;ouvrage;
69123-P-101;LPA Saint Georges;69123;6 place Benoît Crépu, 69005, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/st-georges/#informations;tous;false;677;;14;7;73;;4;65;;190;96950545200017;4.827721;45.759798;;3.4;6.8;10.2;13.6;52.8;133;199;ouvrage;
69040-P-001;Champagne-au-Mont-d'Or - La Duchère;69040;28 bis Rue Jean Claude Bartet, 69410, Champagne-au-Mont-d'Or;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;;4.7948149;45.7913;;;;;;;38;38;;
69290-P-006;Saint-Priest - Boulevard Edouard Herriot;69290;29 Rue Mozart, 69800, Saint-Priest;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;;4.938571;45.694217;;;;;;;70;70;;
69123-P-066;Lyon 1 - Clinique St Charles;69123;25 Rue de Flesselles, 69001, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;250;96950545200017;4.82657252;45.76972106;;;;;;;100;100;;
69123-P-067;Lyon 7 - 289 rue Garibaldi;69123;289 Rue Garibaldi, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;96950545200017;4.8541404;45.7507332;;;;;;;105;105;;
69275-P-001;Décines - Michelet;69275;2 Rue Michelet, 69150, Décines-Charpieu;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.9492098;45.7694956;;;;;;;80;80;;
69123-P-111;LPA Tony Garnier;69123;16 avenue Tony Garnier, 69007, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/tony-garnier/#informations;tous;false;839;;17;20;18;;0;18;;190;96950545200017;4.822946;45.729445;;3.4;6.8;10.2;13.6;49.4;232;232;ouvrage;
69123-P-100;LPA Gros Caillou;69123;167 bis boulevard de la Croix Rousse, 69004, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/gros-caillou/#informations;tous;false;449;;14;20;39;;6;43;;190;96950545200017;4.833557;45.7747;;3;6;9;12;46.6;122;167;ouvrage;
69278-P-001;Genay - rue du Château;69278;258 Rue du Château, 69730, Genay;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;96950545200017;4.8434867;45.8957384;;;;;;;52;52;;
69123-P-071;Perrache - 28 rue Smith;69123;28 Rue Smith, 69002, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;180;96950545200017;4.8247942;45.7456712;;;;;;;115;115;;
69123-P-145;Parking Brotteaux;69123;;;;false;410;;10;;0;;0;16;;;;4.859034680045305;45.76690068287272;;;;;;;;;;
69123-P-086;LPA Antonin Poncet;69123;place Antonin Poncet, 69002, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/antonin-poncet/#informations;tous;false;662;;10;10;112;;3;27;;180;96950545200017;4.83587;45.75653;;3.4;6.8;10.2;13.6;52.8;133;232;ouvrage;
69123-P-085;LPA Terreaux;69123;23 place des Terreaux, 69001, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/terreaux/#informations;tous;false;560;;11;40;537;;12;164;;190;96950545200017;4.832217;45.767543;;3.4;6.8;10.2;13.6;52.8;133;232;ouvrage;
69123-P-096;LPA Fosse aux Ours;69123;1 bis place Antonin Jutard, 69003, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/fosse-aux-ours/#informations;tous;false;335;;9;19;117;;3;98;;190;96950545200017;4.84052;45.75714;;3;6;9;12;46.6;133;199;ouvrage;
69266-P-010;LPA Hôtel de Ville Villeurbanne;69266;38 bis rue Michel Servet, 69100, Villeurbanne;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/hotel-de-ville-villeurbanne/#informations;tous;false;369;;9;0;92;;3;20;;190;96950545200017;4.87877;45.76618;;3;6;9;12;46.6;51;167;ouvrage;
69123-P-104;LPA Morand;69123;11 bis place Maréchal Lyautey, 69006, Lyon;http://www.lpa.fr/se-garer-dans-un-parking/tous-les-parkings/morand/#informations;tous;false;696;;12;20;111;;3;70;;190;96950545200017;4.841533;45.767741;;3.4;6.8;10.2;13.6;52.8;133;232;ouvrage;
69275-P-005;Décines Centre;69275;;;;;105;105;;;;;;;;;30807763500024;4.956418217598331;45.77220376102392;;;;;;;;;;Ouvert de 4h30 à 1h00, du lundi au dimanche
69123-P-011;Part-Dieu - Garibaldi;69123;34 Rue Amédée Bonnet, 69006, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;195;96950545200017;4.8504035;45.7657768;;;;;;;110;110;;
69123-P-001;Lyon 6 - Vendôme;69123;49 Rue Vauban, 69006, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.84669834;45.76522062;;;;;;;210;210;;
69123-P-019;Saxe Gambetta - Villeroy;69123;55 Rue Villeroy, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.84875326;45.75514129;;;;;;;90;90;;
69123-P-007;Guillotière - St Michel;69123;13 Rue Saint-Michel, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.84377949;45.75278343;;;;;;;120;120;;
69123-P-009;Jean Macé - Jaboulay;69123;80 Rue Chevreul, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;185;96950545200017;4.8463236;45.7459556;;;3;;;24;95;95;;
69123-P-020;Université Lyon 3 - Boisard;69123;29 Rue Abbé Boisard, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;185;96950545200017;4.85863771;45.75084687;;;;;;;90;90;;
69123-P-005;Dauphiné - Lacassagne;69123;5 Rue Professeur Paul Sisley, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;220;96950545200017;4.8687362;45.7523382;;;;;;;105;105;;
69123-P-141;Gorge de Loup;69123;;;;;655;655;;;;;;;;;30807763500024;4.80272160800379;45.76650310992938;;;;;;;;;;Ouvert de 4h30 à 1h00 du lundi au jeudi, et de 4h30 à 3h00 les vendredis et samedis - Fermé les dimanches et jours fériés
