Geo Point;Geo Shape;insee;ident;nom;exploit;siret;infor;adresse;ta_titul;ta_ntitul;th_quar;th_demi;th_heur;th_2;th_3;th_4;th_10;th_24;th_nuit;ta_resmoi;ta_nres7j;ta_moimot;ta_moivel;ta_type;ta_handi;tv_1h;an_serv;secteur;propr;typgest;type;nb_niv;gabari_std;gabari_max;np_hginf;np_hgsup;np_global;np_fourr;np_pr;np_total;np_pmr;np_vle;np_covoit;np_mobalt;np_stlav;np_2rmot;np_2rele;np_veltot;np_velec;url;titul;etat;total;libres;prepaye;connecte;mdate;cdate;gid
44.8310288, -0.5718999;"{""coordinates"": [-0.5718999, 44.8310288], ""type"": ""Point""}";33063;CUBPK29;Victoire;METPARK;453 335 069 00010;Vélos: 50€/an ou 10€/mois;Place de la Victoire 33000 Bordeaux;;;0.8;1.6;3.2;6.4;9.6;12.0;24.0;24.0;7.0;80.0;115.0;45.0;10.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;2.5;1984;HYPER_CENTRE;BORDEAUX_METROPOLE;REGIE_AUTONOME;ENTERRE;3;1.8;1.8;0;0;459;0;0;459;10;0;0;0;0;15;0;80;0;https://www.mtpk.fr/;METPARK;LIBRE;466;214;0.0;1;2026-03-30T12:32:01+00:00;2018-06-01T00:00:00+00:00;216
44.8388659, -0.5863109;"{""coordinates"": [-0.5863109, 44.8388659], ""type"": ""Point""}";33063;CUBPK28;Front Du Medoc;METPARK;453 335 069 00010;FERMé POUR TRAVAUX DEPUIS LE _ décembre 2023;Rue Robert Lateulade 33000 Bordeaux;;;;;;;;;;;;80.0;120.0;45.0;10.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;1977;HYPER_CENTRE;BORDEAUX_METROPOLE;REGIE_AUTONOME;SILO;3;1.8;1.8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.mtpk.fr/;METPARK;FERME;70;70;0.0;1;2026-03-30T12:31:49+00:00;2018-06-01T00:00:00+00:00;219
44.8362853, -0.5857737;"{""coordinates"": [-0.5857737, 44.8362853], ""type"": ""Point""}";33063;CUBPK34;Huit Mai 45;METPARK;453 335 069 00010;Vélos: 50€/an ou 10€/1mois, 37 places vélos-cargos;Rue Jean Fleuret 33000 Bordeaux;;;0.8;1.6;3.2;6.4;9.6;12.0;24.0;24.0;7.0;80.0;115.0;45.0;10.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;1979;HYPER_CENTRE;BORDEAUX_METROPOLE;REGIE_AUTONOME;SILO;3;1.8;1.8;0;0;676;257;0;419;9;0;0;0;0;20;0;259;20;https://www.mtpk.fr/;METPARK;LIBRE;399;124;0.0;1;2026-03-30T12:32:01+00:00;2018-06-01T00:00:00+00:00;221
44.8428111, -0.5774475;"{""coordinates"": [-0.5774475, 44.8428111], ""type"": ""Point""}";33063;CUBPK07;Grands Hommes;METPARK;453 335 069 00010;plus 43 places CRC et 2 places Carrefour, Moins 40% pour abonnements aux titulaires  carte européenne Mobilité inclusion;Place des Grands Hommes- 33000 BORDEAUX;;;0.8;1.6;3.2;6.4;9.6;12.0;24.0;24.0;7.0;;125.0;;;PAYANT_TARIF_HORAIRE;AUTRE;2.5;1989;HYPER_CENTRE;BORDEAUX_METROPOLE;REGIE_AUTONOME;ENTERRE;6;1.9;1.9;0;0;458;0;0;458;9;0;0;0;0;0;0;0;0;https://www.mtpk.fr/parkings/parking-grands-hommes/;METPARK;LIBRE;415;252;0.0;1;2026-03-30T12:32:01+00:00;2018-06-01T00:00:00+00:00;226
44.8267061, -0.559011;"{""coordinates"": [-0.559011, 44.8267061], ""type"": ""Point""}";33063;CUBPK22;Leroy;EFFIA_STATIONNEMENT;435 272 596 01814;;59 rue de Saget 33800 Bordeaux;;;;;;;;;;;;120.0;120.0;60.0;;PAYANT_RESERVE_ABONNES;NORMAL_PAYANT;1.8;2010;CENTRE;AUTRE;CONCESSION_DE_SERVICE;ENTERRE;3;1.9;1.9;0;0;137;0;0;137;3;0;0;0;0;12;0;0;0;https://www.resaplace.com/fr/parking/bordeaux-gare-sncf-le-roy-179;EFFIA;OUVERT;;;0.0;0;2026-03-13T08:19:03+00:00;2018-06-01T00:00:00+00:00;251
44.8592522, -0.6682423;"{""coordinates"": [-0.6682423, 44.8592522], ""type"": ""Point""}";33200;CUBPK57;Parc Relais Le Haillan Rostand;KEOLIS;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Rue Adrienne Bolland 33185 Le Haillan;0.0;4.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;;;;;;;PAYANT_TARIF_PARC_RELAIS;AUTRE;0.0;2015;PERIPHERIE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;1;2.1;2.1;0;0;204;0;204;204;5;0;5;0;0;5;0;0;0;https://www.infotbm.com/fr/parc-relais;TBM;LIBRE;204;124;0.0;1;2026-03-30T12:30:41+00:00;2018-06-01T00:00:00+00:00;262
44.8881184, -0.5179124;"{""coordinates"": [-0.5179124, 44.8881184], ""type"": ""Point""}";33249;CUBPK50;Parc Relais La Gardette Sud;KEOLIS;80822705200012;3.5€ pour tous les occupants du VL, forfait court séjour;Chemin du Grand Came 33530 Bassens;0.0;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;;;;;;;PAYANT_TARIF_PARC_RELAIS;NORMAL_PAYANT;0.0;2008;PERIPHERIE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;1;2.2;2.2;0;0;242;0;242;242;4;0;5;0;0;36;0;0;0;https://www.infotbm.com/fr/parc-relais;TBM;LIBRE;151;113;0.0;1;2026-03-30T12:30:41+00:00;2018-06-01T00:00:00+00:00;263
44.8314625, -0.7018194;"{""coordinates"": [-0.7018194, 44.8314625], ""type"": ""Point""}";33281;CUBPK09;Aeroport P0 Confort;INDIGO;320 229 644 05241;;Avenue Kennedy - 33700 MERIGNAC;;;5.2;5.2;12.2;168.0;17.8;18.7;24.2;25.3;;;;;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;0.0;2016;PERIPHERIE;AEROPORT_DE_BORDEAUX;CONCESSION_DE_SERVICE;SURFACE;1;1.9;1.9;0;0;341;0;0;341;3;22;0;0;0;0;0;0;0;http://www.bordeaux.aeroport.fr/fr/info/parkings-aeroport-bordeaux;INDIGO;OUVERT;;;0.0;0;2026-02-12T08:13:01+00:00;2018-06-01T00:00:00+00:00;267
44.8318558, -0.700669;"{""coordinates"": [-0.700669, 44.8318558], ""type"": ""Point""}";33281;CUBPK10;Aeroport P1 Proxi;INDIGO;320 229 644 05241;places Handicapés au P2 avec tarif P4;Avenue Kennedy - 33700 MERIGNAC;;;5.0;5.0;8.3;12.7;13.5;14.4;18.0;19.8;;;;;;PAYANT_TARIF_HORAIRE;AUTRE;0.0;2008;PERIPHERIE;AEROPORT_DE_BORDEAUX;CONCESSION_DE_SERVICE;SURFACE;1;2.3;2.3;0;0;375;0;0;375;0;0;0;0;0;0;0;0;0;http://www.bordeaux.aeroport.fr/fr/info/parkings-aeroport-bordeaux;INDIGO;OUVERT;;;0.0;0;2026-02-12T08:18:31+00:00;2018-06-01T00:00:00+00:00;274
44.7933143, -0.6569533;"{""coordinates"": [-0.6569533, 44.7933143], ""type"": ""Point""}";33318;CUBPK59;Parc Relais Gare De Pessac Alouette;KEOLIS;80822705200012;abonnement annuel Riverain nocturne 300€ et forfait court-séjour, 3.5€ pour tous les occupants du VL;Rue Notre Dame de Lorette 33600 Pessac;0.0;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;;;;;;0.0;PAYANT_TARIF_PARC_RELAIS;AUTRE;0.0;2015;PERIPHERIE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;1;2.1;2.1;0;0;148;0;148;148;4;4;5;0;0;0;0;30;7;https://www.infotbm.com/fr/parc-relais;TBM;LIBRE;148;93;0.0;1;2026-03-30T12:30:41+00:00;2018-06-01T00:00:00+00:00;278
