code_commune,libelle_commune,menages_motorises,menages_total,taux_motorisation
80235,Dargnies,441.870013462091,535.598570623804,82.50022268495813
16025,Baignes-Sainte-Radegonde,550.026024571663,591.806392135409,92.9401966388044
16255,Parzac,74.87586206896549,77.7931034482758,96.25000000000004
33483,Saint-Sulpice-et-Cameyrac,2012.438715127376,2115.17984297687,95.14267648726748
07347,Vocance,262.0,286.0,91.6083916083916
54570,Villecey-sur-Mad,128.3376515482368,133.132845202531,96.39818885640172
33523,Targon,835.215142926402,913.043684396459,91.47592357297744
31040,Bachos,16.02857142857146,16.0285714285714,100.00000000000038
68056,Brunstatt-Didenheim,3467.0,3884.0,89.26364572605561
88126,Darnieulles,567.421215704888,599.515131549612,94.64668793900692
56071,Guéhenno,356.337279450152,388.808885582666,91.64844031693043
60684,Villers-Saint-Paul,2096.819188173389,2449.4169408633,85.60482918168935
51496,Saint-Lumier-en-Champagne,103.0,105.0,98.0952380952381
88040,Bayecourt,102.53346162716,111.065164197653,92.31829112924204
25045,Battenans-les-Mines,21.6,25.2,85.71428571428572
62102,Bécourt,95.8087878896365,103.916901200255,92.19750279601428
27620,Selles,198.1257890734702,204.1415697039,97.05313296103508
21388,Marliens,220.3208418198576,224.810799910083,98.0027836331612
22380,Trévron,280.609755558762,296.111725001978,94.76482417468864
25584,Valoreille,50.961538461538495,50.9615384615385,100.0
04173,Saint-André-les-Alpes,459.0,529.0,86.76748582230624
39034,Balaiseaux,116.8953464730976,119.583849086877,97.75178451412262
24459,Saint-Mayme-de-Péreyrol,126.4496409794439,134.602535883775,93.9429856571418
49308,Saint-Melaine-sur-Aubance,894.0049040956401,910.642045193587,98.1730317432894
54159,Dombasle-sur-Meurthe,3621.5389809122,4187.43204327474,86.48591651125665
62374,Gomiécourt,58.0,64.0,90.625
57388,Launstroff,95.0,97.0,97.9381443298969
60304,Haute-Épine,101.7702788741329,105.661057849772,96.31767932782672
16273,Raix,52.3870967741936,58.9354838709677,88.88888888888904
51403,Nogent-l'Abbesse,220.0,228.0,96.49122807017544
69085,Fleurieu-sur-Saône,586.1911462260721,620.738375228622,94.434494405179
10143,Étourvy,75.0,76.0,98.6842105263158
39246,Gendrey,169.3568422868199,179.730195934038,94.2283745959832
16157,Le Grand-Madieu,73.0512820512821,78.974358974359,92.50000000000004
14311,Grainville-sur-Odon,383.25044413247497,387.35833323057,98.93951188197369
95308,Hérouville-en-Vexin,219.9860560639512,225.385804311773,97.6042199000464
89395,Les Sièges,184.4526916524281,200.381986732668,92.0505354099062
2A204,Pastricciola,46.0,50.7916666666667,90.566037735849
37162,Mouzay,190.0,200.0,95.0
28050,Boncourt,112.9595947693648,117.101901447902,96.46264780732012
15108,Val d'Arcomie,425.896463205592,450.213187179156,94.59884235601312
02037,Aulnois-sous-Laon,514.9400503599051,556.76066009541,92.4885839225174
60321,Ivry-le-Temple,315.572791722949,327.237150497912,96.43550288919978
76582,Saint-Germain-d'Étables,107.9993889298698,110.03857617193,98.14684330441166
05079,Le Monêtier-les-Bains,451.543020119319,478.671601745551,94.33252745153392
57644,Seingbouse,721.34101861305,772.64951166648,93.35940911387289
88270,Liffol-le-Grand,827.47533740417,941.763014216147,87.86449721567145
17108,Clam,182.49366993927788,190.456621277223,95.81902100092678
69167,Rivolet,230.0,239.0,96.23430962343096
39085,Cerniébaud,36.19565217391301,39.1304347826087,92.49999999999989
56253,Tréal,303.18553437667003,317.772242487215,95.40969721068956
55124,Consenvoye,116.7591732279908,131.948602246394,88.48837444292192
59445,Ohain,471.3128550663,517.073603794167,91.15005129016738
35275,Saint-Gilles,2179.19048888662,2308.77354229705,94.38736406856496
76216,Déville-lès-Rouen,4246.67943770893,5573.13519793453,76.19911031913956
11079,Caudebronde,86.9767441860466,94.1395348837211,92.39130434782602
35196,Mordelles,3326.0,3701.0,89.86760335044582
32068,Cadeilhan,56.06666666666671,57.0333333333334,98.30508474576266
79132,Genneton,130.4940341931249,141.197916090794,92.41923521676748
09223,Oust,264.931754214182,280.897126691981,94.31629199421968
35127,Guignen,1564.373653033268,1637.78740482365,95.51750419046074
44047,Couëron,9104.71460414413,9974.34550673684,91.28132365170882
41199,Saint-Amand-Longpré,468.730368059649,508.736265515709,92.13622063771966
88477,Trampot,48.969696969697,52.030303030303,94.11764705882364
54369,Millery,246.0,261.0,94.2528735632184
32423,Séailles,29.142857142857203,30.2222222222222,96.42857142857169
52344,Mouilleron,8.70967741935483,13.5483870967742,64.28571428571418
11207,Loupia,112.4048168010944,120.232840961703,93.48927955291182
48087,Prinsuéjols-Malbouzon,129.556559839018,139.529876647733,92.85219979524936
58166,Mhère,135.0821244161075,142.502388816567,94.79288420209498
07293,Saint-Romain-de-Lerps,363.238812618337,377.228947197269,96.29134119137046
56262,Le Bono,1179.1851595008088,1238.42138981064,95.21679528493216
73137,Jacob-Bellecombette,1880.0640524634216,2344.07869148207,80.20481817846867
30192,Orthoux-Sérignac-Quilhan,196.1732679740718,209.623095600065,93.58380450040973
58261,Saint-Père,486.459924559706,517.037182861504,94.08606202506164
17283,Pons,1894.707043094023,2210.72882381492,85.70508615454891
80252,Douilly,91.297323443202,103.324115297266,88.36013081799672
61361,Saint-André-de-Briouze,73.73595505617979,75.7022471910112,97.40259740259748
72322,Saint-Ulphace,95.6219713499585,100.553025654917,95.09606570976676
62876,Warlencourt-Eaucourt,51.3863636363638,53.4015151515153,96.22641509433966
36109,Le Magny,468.577923955534,498.647701953461,93.969734969172
54593,Waville,169.0,181.0,93.37016574585635
62158,Boubers-sur-Canche,229.045507454459,253.920915845608,90.20348193518882
62065,Avion,5747.79532501435,7366.22356068786,78.02906438638715
85194,Les Sables-d'Olonne,22553.12616055947,26056.7901264873,86.55373916388005
64249,Guéthary,597.965126601042,641.812816653042,93.16814982276934
87064,Eymoutiers,849.6345226016181,1028.87541191807,82.57895103331276
67520,Wasselonne,2249.7709461435497,2559.09839699299,87.9126394196914
38187,Le Gua,761.8894046059929,790.6595497061,96.3612473774836
02767,Vauxrezis,132.1676414233676,137.510449957457,96.11461635407171
38566,Vourey,681.0755737266879,704.085299532153,96.73196900705716
70511,Vaite,93.831171308648,98.0374677222858,95.70950116178732
59330,Landas,939.799145393866,987.287359325856,95.19003120181584
64415,Navailles-Angos,597.170668206985,620.623034001498,96.22115768999056
79124,Les Forges,46.9017857142857,51.5,91.07142857142854
10348,Saint-Lupien,92.1973684210524,95.236842105263,96.8085106382978
01096,Chaveyriat,411.283899660207,424.146021419029,96.9675250717217
80162,Caix,258.105172238258,289.67832059445,89.10061743957897
58149,Luzy,851.844494752121,1008.53662589919,84.46341688311362
82126,Monteils,576.317023379662,604.848441559877,95.28288142619104
60491,Pierrefonds,708.0,761.0,93.03547963206309
41231,Saint-Viâtre,538.0,585.0,91.96581196581197
70387,Noidans-le-Ferroux,270.489388761118,302.586637184708,89.39237742875046
88357,Poussay,285.78525893834603,305.737491053419,93.47406428752734
18163,Neuvy-Deux-Clochers,128.06215066997112,134.847393034436,94.96820649492858
39362,Montmorot,1412.481682674119,1578.76174915184,89.46769095672276
11364,Saint-Polycarpe,70.05917159763311,76.6863905325443,91.3580246913581
49053,Brossay,126.8206839189352,139.593116146749,90.85024206037022
85250,Saint-Mathurin,978.7976625956568,1027.93590321926,95.21971744836294
28088,Châteaudun,4583.01391543741,5850.75658630323,78.3319874589615
26153,Laborel,53.0,60.0,88.33333333333333
59013,Anstaing,613.0,659.0,93.01972685887708
74056,Chamonix-Mont-Blanc,3701.33447122414,4311.81182669223,85.8417440276745
70171,Corbenay,519.943138156322,559.290654758575,92.96474627861647
31035,Auzeville-Tolosane,1744.014463651978,2274.91835954511,76.66272753632835
32097,Cazaux-d'Anglès,49.0,50.0,98.0
13041,Gardanne,8493.30003970106,9693.03523593953,87.62270881065068
57148,Colligny-Maizery,216.7798889702092,219.587344663764,98.72148565854118
23099,Janaillat,137.70103748127912,155.183094494271,88.73456089404296
05180,Les Vigneaux,242.0,248.0,97.58064516129032
28194,Houville-la-Branche,184.2414424510044,187.090658001437,98.47709362890224
40044,Biaudos,412.0,419.0,98.32935560859188
76584,Saint-Germain-sur-Eaulne,88.8209606986899,91.7816593886463,96.77419354838702
63144,Égliseneuve-d'Entraigues,159.0,190.0,83.6842105263158
17099,Chepniers,313.0,327.0,95.71865443425077
23042,Ceyroux,56.0,65.0,86.15384615384616
65053,Aveux,17.57142857142856,19.5238095238095,90.00000000000004
27497,Rougemontiers,387.240240057233,400.671238738812,96.64787551912744
50513,Saint-Martin-de-Cenilly,86.0,89.0,96.62921348314607
03173,Molinet,479.193190904388,510.741192711831,93.82309430732704
01302,Pollieu,74.8969696969695,76.921212121212,97.36842105263148
87181,Saint-Sulpice-Laurière,347.507226133273,426.252753422664,81.52609533731071
60277,Goincourt,612.011955917533,649.70065430347,94.199067195593
63019,Aulnat,1665.530807038722,1928.17188330097,86.37875188737766
21140,Champignolles,34.7815063601791,36.8894764426143,94.28571428571402
39561,Villards-d'Héria,161.9616416291772,169.962159323729,95.29276532706724
11361,Saint-Papoul,383.0,400.0,95.75
89295,Perrigny,521.869753890065,544.717846903583,95.8055178211258
33023,Ayguemorte-les-Graves,524.45046925121,539.979962786438,97.12406114940048
46242,Rudelle,84.1798941798942,87.1164021164021,96.6292134831461
05033,Chanousse,21.8780487804878,22.8292682926829,95.83333333333344
27006,Aizier,58.7532467532466,62.8051948051946,93.54838709677426
02463,Marfontaine,29.0,30.0,96.66666666666669
16304,Saint-Brice,450.0,468.0,96.15384615384616
86068,Chaunay,511.343714875548,584.37581762097,87.50254535809846
34240,Saint-Aunès,1747.584042833776,1813.52356855516,96.3640105447365
60312,Héricourt-sur-Thérain,43.2,46.0173913043478,93.87755102040822
54244,Hagéville,46.1607142857143,48.125,95.9183673469388
54379,Mont-l'Étroit,38.1440608914899,41.0782194216046,92.85714285714263
57667,Téterchen,300.383707027317,329.763612653323,91.09061627824512
57220,Flocourt,46.8222222222223,49.6888888888889,94.23076923076935
34075,Cesseras,192.4252987140262,213.380947461415,90.17923155900404
68136,Hettenschlag,139.95277735701092,145.019025545065,96.50649411757374
37217,Saint-Étienne-de-Chigny,644.0,670.0,96.11940298507464
28114,Courbehaye,58.572463768116,65.5217391304348,89.39393939393946
70288,Hyet,46.3898305084748,50.4237288135595,92.00000000000011
62765,Saint-Omer,5038.33792524827,7130.74189979056,70.65657397298665
78172,Conflans-Sainte-Honorine,12185.41463975764,14683.9425767533,82.98462470868571
14061,Souleuvre en Bocage,3542.0,3763.0,94.12702630879618
76120,Bosc-Bordel,170.0,180.0,94.44444444444444
16154,Gond-Pontouvre,2637.0,2931.0,89.96929375639714
89256,Migé,176.0887586478837,190.027889715839,92.66469196242753
81002,Aiguefonde,1086.554337273745,1127.96370267161,96.32883883587868
38075,Chapareillan,1239.0734236032472,1307.67958195575,94.75359565912191
37095,Dame-Marie-les-Bois,138.5668126165884,146.229897998398,94.75956320376184
46283,Saint-Michel-de-Bannières,153.6688186486625,160.466286312849,95.76392785028126
57151,Conthil,58.6666666666667,64.0,91.66666666666671
53201,Saint-Berthevin,3097.19447774357,3393.51407990359,91.26806032970876
71552,Uxeau,220.8698689609251,235.573410838373,93.75840345261376
24449,Saint-Martial-d'Artenset,443.0,471.0,94.0552016985138
2B318,Taglio-Isolaccio,260.702325996298,276.321672340192,94.3474045261769
90046,Florimont,190.1738180415351,199.908649738877,95.13035993687234
77496,Vieux-Champagne,74.39153439153469,75.3968253968257,98.66666666666666
21699,Villers-les-Pots,457.44920898326,472.871159245052,96.7386570400247
71215,Gergy,1045.49662052484,1126.35952032321,92.82086240322572
10389,Unienville,51.2068965517242,53.0689655172414,96.49122807017552
24291,Montignac-Lascaux,1271.271140254234,1445.67408599341,87.93621968956211
